Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,5,201005,Brisbane,Melbourne,Brisbane - Melbourne,116,171.4572025
2010,5,201005,Brisbane,Mount Isa,Brisbane - Mount Isa,582,860.2421712
2010,5,201005,Brisbane,Perth,Brisbane - Perth,494,730.17119
2010,5,201005,Brisbane,Proserpine,Brisbane - Proserpine,148.95,220.1599165
2010,5,201005,Brisbane,Rockhampton,Brisbane - Rockhampton,38,56.16701461
2010,5,201005,Brisbane,Sydney,Brisbane - Sydney,128,189.1941545
2010,5,201005,Brisbane,Townsville,Brisbane - Townsville,188,277.8789144
2010,5,201005,Brisbane,Newcastle,Brisbane - Newcastle,108,159.6325678
2010,5,201005,Broome,Perth,Broome - Perth,378,558.7139875
2010,5,201005,Bundaberg,Brisbane,Bundaberg - Brisbane,210,310.3966597
2010,5,201005,Cairns,Melbourne,Cairns - Melbourne,479.9,709.3302714
2010,5,201005,Cairns,Sydney,Cairns - Sydney,354,523.2400835
2010,5,201005,Cairns,Townsville,Cairns - Townsville,118,174.4133612
2010,5,201005,Canberra,Melbourne,Canberra - Melbourne,76,112.3340292
2010,5,201005,Canberra,Sydney,Canberra - Sydney,154,227.6242171
2010,5,201005,Coffs Harbour,Sydney,Coffs Harbour - Sydney,210,310.3966597
2010,5,201005,Darwin,Melbourne,Darwin - Melbourne,388.95,574.8989562
2010,5,201005,Darwin,Perth,Darwin - Perth,448,662.1795407
2010,5,201005,Darwin,Sydney,Darwin - Sydney,418.95,619.2413361
2010,5,201005,Devonport,Melbourne,Devonport - Melbourne,198,292.6597077
2010,5,201005,Dubbo,Sydney,Dubbo - Sydney,248,366.5636743
2010,5,201005,Geraldton,Perth,Geraldton - Perth,313.14,462.845762
2010,5,201005,Gold Coast,Sydney,Gold Coast - Sydney,56,82.77244259
2010,5,201005,Hamilton Island,Sydney,Hamilton Island - Sydney,318,470.0292276
2010,5,201005,Hervey Bay,Sydney,Hervey Bay - Sydney,250,369.519833
2010,5,201005,Hobart,Melbourne,Hobart - Melbourne,76,112.3340292
2010,5,201005,Hobart,Sydney,Hobart - Sydney,198,292.6597077
2010,5,201005,Kalgoorlie,Perth,Kalgoorlie - Perth,257.37,380.4132777
2010,5,201005,Karratha,Perth,Karratha - Perth,318.12,470.2065971
2010,5,201005,Launceston,Melbourne,Launceston - Melbourne,73,107.8997912
2010,5,201005,Launceston,Sydney,Launceston - Sydney,229.9,339.8104384
2010,5,201005,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,146,215.7995825
2010,5,201005,Sunshine Coast,Sydney,Sunshine Coast - Sydney,158,233.5365344
2010,5,201005,Melbourne,Gold Coast,Melbourne - Gold Coast,156,230.5803758
2010,5,201005,Melbourne,Mildura,Melbourne - Mildura,198,292.6597077
2010,5,201005,Melbourne,Perth,Melbourne - Perth,126,186.2379958
2010,5,201005,Melbourne,Sydney,Melbourne - Sydney,56,82.77244259
2010,5,201005,Melbourne,Newcastle,Melbourne - Newcastle,144,212.8434238
2010,5,201005,Paraburdoo,Perth,Paraburdoo - Perth,409,604.5344468
2010,5,201005,Perth,Newman,Perth - Newman,378,558.7139875
2010,5,201005,Perth,Port Hedland,Perth - Port Hedland,368,543.9331942
2010,5,201005,Perth,Sydney,Perth - Sydney,328,484.8100209
